avgGas,timestamp,samples,open,close,high,low
85894.18710666666,2024-12-08 18:19:08.577000+00:00,60,14.1053,13.0836,14.9,9.6274
80492.82001166667,2024-12-08 17:19:02.431000+00:00,60,14.038,14.739,16.468,10.6736
81945.33285254239,2024-12-08 16:19:56.391000+00:00,59,14.9413,15.8609,17.1689,12.0037
82563.07297999995,2024-12-08 15:19:51.457000+00:00,60,15.5009,12.3563,17.9324,9.99
84018.55192333335,2024-12-08 14:19:46.805000+00:00,60,12.563,11.8584,16.4043,10.0
86667.55615166668,2024-12-08 13:19:40.040000+00:00,60,12.1294,11.704,14.2821,9.6856
89048.79352666665,2024-12-08 12:19:36.078000+00:00,60,11.198,8.8432,16.3256,7.5072
88737.73803333334,2024-12-08 11:19:32.202000+00:00,60,9.5168,7.9174,200.0,6.6206
90998.71309666667,2024-12-08 10:19:28.202000+00:00,60,7.1457,8.2504,10.5326,6.5015
95219.9541166667,2024-12-08 09:19:24.745000+00:00,60,8.4702,8.2422,10.9866,7.6775
94936.46638499998,2024-12-08 08:19:20.201000+00:00,60,8.1668,9.6786,10.4324,7.3991
98486.17889666671,2024-12-08 07:19:16.359000+00:00,60,9.2259,9.0,10.8214,6.5413
98179.37603166669,2024-12-08 06:19:13.226000+00:00,60,9.4159,7.4581,10.0175,6.7827
90993.25579500003,2024-12-08 05:19:10.292000+00:00,60,7.2897,7.6126,10.1939,6.6947
89593.14124666668,2024-12-08 04:19:06.037000+00:00,60,8.4385,9.522,108.01,6.6609
91873.00012666665,2024-12-08 03:19:02.799000+00:00,60,8.5494,10.3047,11.5954,7.0
96030.510085,2024-12-08 02:18:59.025000+00:00,60,13.2512,9.8165,19.1883,7.6747
91985.25325762709,2024-12-08 01:19:54.761000+00:00,59,9.0014,10.5395,11.4183,7.9746
96654.78207333336,2024-12-08 00:19:50.557000+00:00,60,10.3758,11.0244,12.7445,8.6602
90530.84615333332,2024-12-07 23:19:48.290000+00:00,60,10.9999,11.8481,13.8945,9.0
87780.37307833336,2024-12-07 22:19:44.249000+00:00,60,11.0,12.1339,13.7068,9.3309
85110.70022833334,2024-12-07 21:19:39.979000+00:00,60,12.3657,13.5979,14.9843,10.4957
80190.02539833334,2024-12-07 20:19:36.914000+00:00,60,13.3231,15.0445,17.2514,11.586
81563.08815999998,2024-12-07 19:19:33.854000+00:00,60,14.2265,16.6942,17.454,12.0
80485.96661833333,2024-12-07 18:19:30.156000+00:00,60,15.2645,16.3751,19.2528,13.1294
80558.54878833333,2024-12-07 17:19:25.272000+00:00,60,15.9097,15.1861,20.2646,12.7284
77904.19673500002,2024-12-07 16:19:20.902000+00:00,60,15.0035,15.0,19.2824,13.9905
81833.06183666665,2024-12-07 15:19:05.745000+00:00,60,15.8808,13.845,19.0967,11.7579
82493.37072372879,2024-12-07 14:19:57.285000+00:00,59,15.0,13.4038,17.8394,11.8704
85916.3973283333,2024-12-07 13:19:30.925000+00:00,60,13.2538,13.1019,14.8386,10.8559
86456.23399999997,2024-12-07 12:19:27.078000+00:00,60,13.0,12.3009,60.0996,9.9789
88494.08496166668,2024-12-07 11:19:24.490000+00:00,60,11.3167,11.824,14.6561,9.8514
84065.72474166671,2024-12-07 10:19:20.786000+00:00,60,11.7474,13.6827,14.1636,10.6705
89289.77749166667,2024-12-07 09:19:16.704000+00:00,60,11.518,11.2772,14.6441,10.2565
90508.3461316667,2024-12-07 08:19:13.310000+00:00,60,11.5723,16.4248,18.4591,9.8098
97216.52497166669,2024-12-07 07:19:09.194000+00:00,60,17.2431,11.6797,19.8438,9.6736
100298.42541666662,2024-12-07 06:19:04.261000+00:00,60,11.8,13.3219,15.4132,10.0
109247.67201016952,2024-12-07 05:19:58.871000+00:00,59,14.3291,13.9755,16.1064,12.0
99159.76000499996,2024-12-07 04:19:54.509000+00:00,60,12.9848,12.2036,16.1183,10.0909
91383.0749133333,2024-12-07 03:19:50.755000+00:00,60,12.653,13.0952,13.8898,10.0
89334.52502000002,2024-12-07 02:19:47.669000+00:00,60,11.7933,12.621,15.2477,10.608
93099.23709833335,2024-12-07 01:19:44.301000+00:00,60,12.6124,13.1313,16.3488,11.9552
84486.09275333335,2024-12-07 00:19:39.273000+00:00,60,14.2676,16.7084,18.9405,12.6444
86573.62929666668,2024-12-06 23:19:35.020000+00:00,60,17.4167,16.1893,19.0775,13.0868
80224.99021833333,2024-12-06 22:19:28.419000+00:00,60,16.7519,19.921,22.3148,15.3006
79574.69322833332,2024-12-06 21:19:23.096000+00:00,60,21.2382,23.6674,35.0743,18.6609
79057.8880816667,2024-12-06 20:19:18.703000+00:00,60,25.0155,28.5831,54.5379,22.4706
78921.26294666668,2024-12-06 19:19:11.973000+00:00,60,28.9557,30.3293,36.7836,24.0
80194.16690166667,2024-12-06 18:19:08.469000+00:00,60,29.0,27.7228,55.3536,22.6795
76862.75512833332,2024-12-06 17:19:04.932000+00:00,60,28.2518,36.485,36.5893,23.1906
76551.07939000003,2024-12-06 16:19:01.200000+00:00,60,32.368,41.1721,44.5215,27.5331
73291.17763728813,2024-12-06 15:19:57.477000+00:00,59,39.5641,46.5053,57.5068,35.0
84017.057495,2024-12-06 14:19:53.618000+00:00,60,45.8003,18.0931,48.8316,17.9094
81616.7626983333,2024-12-06 13:19:50.733000+00:00,60,19.578,22.6394,25.6096,17.4221
82385.0078566667,2024-12-06 12:19:47.005000+00:00,60,22.0058,14.4765,29.3477,12.4632
83790.60484333332,2024-12-06 11:19:42.608000+00:00,60,14.1411,12.7101,15.9112,11.3085
83894.31153333334,2024-12-06 10:19:38.980000+00:00,60,14.3209,16.2845,17.3481,11.4838
86377.44304499999,2024-12-06 09:19:35.673000+00:00,60,15.9303,21.7428,21.7428,13.7121
89449.58304166667,2024-12-06 08:19:32.160000+00:00,60,21.519,14.6279,28.0,12.541
85970.53206666665,2024-12-06 07:19:28.564000+00:00,60,15.0,13.2507,16.1515,10.7744
87394.80977166664,2024-12-06 06:19:24.049000+00:00,60,13.0,13.9118,17.7802,11.0
86845.64861999998,2024-12-06 05:19:19.157000+00:00,60,13.1605,14.5344,16.8798,11.0
86897.7440716667,2024-12-06 04:19:15.489000+00:00,60,14.7762,14.581,18.1822,11.7796
88658.87374666668,2024-12-06 03:19:11.925000+00:00,60,16.6785,18.8198,20.2794,13.3678
85820.94330333333,2024-12-06 02:19:09.038000+00:00,60,18.9026,16.6,32.5175,14.44
86120.09366166664,2024-12-06 01:19:05.495000+00:00,60,17.0884,21.795,28.7173,15.9524
84098.44188,2024-12-06 00:19:01.384000+00:00,60,22.3367,17.5815,40.0,14.0
86477.21495932205,2024-12-05 23:19:56.856000+00:00,59,14.911,25.1906,27.3926,14.911
90851.78885,2024-12-05 22:19:52.544000+00:00,60,25.3957,19.2266,74.8907,18.1188
79587.93299166669,2024-12-05 21:19:44.265000+00:00,60,19.0516,23.0461,27.3576,18.0
79735.62954166668,2024-12-05 20:19:39.352000+00:00,60,20.0616,31.4069,33.2596,18.3618
81318.34890833333,2024-12-05 19:19:35.583000+00:00,60,30.4199,26.2431,37.1433,20.512
79282.45194666665,2024-12-05 18:19:32.165000+00:00,60,27.5858,27.0552,34.8358,23.3688
75312.691755,2024-12-05 17:19:28.803000+00:00,60,24.4235,30.9593,38.6479,22.1373
74330.09247333331,2024-12-05 16:19:24.876000+00:00,60,30.0,27.9721,33.2247,23.4056
76826.09455,2024-12-05 15:19:20.931000+00:00,60,27.2077,29.0,35.0248,23.1096
76607.91123666667,2024-12-05 14:19:08.601000+00:00,60,25.616,26.1352,33.8273,22.5604
75956.67553333333,2024-12-05 13:19:03.304000+00:00,60,25.6502,26.0445,32.1775,19.8366
77548.20512033896,2024-12-05 12:19:58.408000+00:00,59,23.658,20.0876,36.0244,16.7597
79151.07540166666,2024-12-05 11:19:53.869000+00:00,60,21.152,20.0454,21.9222,15.68
78710.59250166664,2024-12-05 10:19:30.001000+00:00,60,19.0851,20.9005,22.7119,16.65
80435.25789166667,2024-12-05 09:19:26.103000+00:00,60,21.2221,19.5947,29.9319,17.0
80299.29558666666,2024-12-05 08:19:21.996000+00:00,60,19.8763,16.3889,23.95,15.3201
84905.55562833333,2024-12-05 07:19:18.088000+00:00,60,18.4189,16.6532,19.4619,14.0
86167.29273166666,2024-12-05 06:19:13.766000+00:00,60,17.3916,16.9444,21.0996,15.0472
83547.87024000002,2024-12-05 05:19:09.748000+00:00,60,16.0681,18.98,21.6768,15.075
85625.89394166668,2024-12-05 04:19:05.569000+00:00,60,19.8266,22.5103,24.0913,16.8748
84128.1578116667,2024-12-05 03:19:01.675000+00:00,60,23.5003,33.2021,37.3924,19.9092
90879.8560525424,2024-12-05 02:19:57.914000+00:00,59,33.0635,15.5808,34.4665,14.3038
83387.19016166663,2024-12-05 01:19:54.490000+00:00,60,15.8937,22.7597,27.7836,14.0308
84140.43294500001,2024-12-05 00:19:51.228000+00:00,60,22.9083,21.3177,27.685,14.9724
84401.04436166667,2024-12-04 23:19:48.005000+00:00,60,19.7662,25.22,33.9282,19.0093
80462.54383666665,2024-12-04 22:19:44.216000+00:00,60,25.3734,27.1603,34.4239,20.4975
77470.10253833332,2024-12-04 21:19:40.535000+00:00,60,27.0194,35.1345,39.0862,25.34
78636.10905500002,2024-12-04 20:19:34.958000+00:00,60,34.3212,42.6138,55.3806,31.0416
80340.65817,2024-12-04 19:19:30.172000+00:00,60,44.051,28.5246,46.0058,23.0
76316.40654499999,2024-12-04 18:19:25.327000+00:00,60,31.1436,31.8366,34.6307,23.8514
78276.75949833331,2024-12-04 17:19:19.390000+00:00,60,33.5016,38.6438,40.0203,25.0364
73768.72259166666,2024-12-04 16:19:14.643000+00:00,60,36.2115,51.1093,54.276,32.3191
74634.90449833334,2024-12-04 15:19:10.245000+00:00,60,51.6241,42.7088,56.9702,38.4383
78783.13195,2024-12-04 14:19:05.641000+00:00,60,45.3769,32.6715,53.4215,31.7659
83005.803555,2024-12-04 13:19:00.911000+00:00,60,37.4337,21.8906,44.0713,18.4574
78362.33908474575,2024-12-04 12:19:55.941000+00:00,59,21.0946,25.6,25.6593,17.2494
80676.10440166667,2024-12-04 11:19:51.034000+00:00,60,25.6658,18.3326,25.6658,17.2465
82342.06036333331,2024-12-04 10:19:46.738000+00:00,60,19.0,18.1742,21.1323,15.68
86718.51896666666,2024-12-04 09:19:43.384000+00:00,60,18.8524,20.9295,27.4302,17.6977
82552.22014333334,2024-12-04 08:19:35.731000+00:00,60,19.9682,16.8985,21.5268,15.1368
84659.12475999999,2024-12-04 07:19:32.416000+00:00,60,18.3058,17.6994,22.3974,15.0725
88905.96680166667,2024-12-04 06:19:29.329000+00:00,60,17.1754,17.5962,19.8119,15.54
87350.7950716667,2024-12-04 05:19:26.494000+00:00,60,17.0549,16.2993,21.0044,14.56
87871.07718500002,2024-12-04 04:19:23.326000+00:00,60,18.1013,17.5608,19.439,13.6134
88380.39581333334,2024-12-04 03:19:20.320000+00:00,60,18.185,17.11,72.5298,13.7905
85646.71226833333,2024-12-04 02:19:17.092000+00:00,60,17.3096,17.97,20.5151,15.1053
83809.30980500003,2024-12-04 01:19:13.131000+00:00,60,18.1559,22.6876,26.2576,15.2737
83459.79490666663,2024-12-04 00:19:09.783000+00:00,60,24.1049,22.2189,32.5578,17.0103
83797.07577833334,2024-12-03 23:19:06.403000+00:00,60,25.3461,22.9768,39.9272,18.1384
81620.02595166666,2024-12-03 22:19:00.721000+00:00,60,22.1124,25.4787,28.8947,20.0
79213.04192203388,2024-12-03 21:19:55.761000+00:00,59,25.2847,28.8994,37.6432,24.64
79586.72738,2024-12-03 20:19:52.258000+00:00,60,29.3816,25.1033,36.3425,23.0
78922.21363333333,2024-12-03 19:19:48.886000+00:00,60,25.1933,36.3254,39.984,23.8862
80698.87003500001,2024-12-03 18:19:44.273000+00:00,60,38.448,36.0856,43.1232,27.7208
79788.25904333331,2024-12-03 17:19:39.459000+00:00,60,34.832,28.801,52.7355,25.9728
73569.68249500002,2024-12-03 16:19:34.378000+00:00,60,31.2473,35.2887,42.1529,25.9728
71989.5385066667,2024-12-03 15:19:29.360000+00:00,60,35.2095,61.4563,63.1022,32.0411
80565.10724833331,2024-12-03 14:19:21.559000+00:00,60,55.4609,38.1667,75.0563,27.4105
78507.16571500002,2024-12-03 13:19:17.641000+00:00,60,40.2102,44.0,64.8434,32.4768
119887.85753833332,2024-12-03 12:19:13.997000+00:00,60,56.5554,22.5445,165.7489,19.9711
81489.91741499997,2024-12-03 11:19:09.938000+00:00,60,19.3812,19.0,23.4895,15.5081
81118.10620833334,2024-12-03 10:19:05.871000+00:00,60,19.2095,16.978,24.0576,14.0739
78685.63272333334,2024-12-03 09:19:00.716000+00:00,60,16.8885,21.4892,23.3282,13.9878
82361.38616440674,2024-12-03 08:19:56.943000+00:00,59,21.5162,15.3892,23.9622,13.2332
84110.11593166667,2024-12-03 07:19:53.037000+00:00,60,15.0433,17.2921,19.1875,14.0
83308.97861166668,2024-12-03 06:19:49.189000+00:00,60,17.8179,17.9,23.4015,15.1976
84966.71282666668,2024-12-03 05:19:45.052000+00:00,60,17.9663,14.0173,19.1011,12.2846
84148.11668333331,2024-12-03 04:19:41.806000+00:00,60,13.5956,17.3683,17.4423,12.9881
86503.110965,2024-12-03 03:19:37.705000+00:00,60,16.1439,16.4081,20.0494,14.56
85675.04888500001,2024-12-03 02:19:31.845000+00:00,60,16.2943,14.1804,22.2147,14.1804
83532.66158666665,2024-12-03 01:19:28.262000+00:00,60,17.2172,19.895,21.1095,13.7761
78996.04088833337,2024-12-03 00:19:24.099000+00:00,60,18.0712,25.3046,25.3046,17.1564
82215.0291183333,2024-12-02 23:19:20.854000+00:00,60,24.4382,31.3482,34.1807,19.2923
78922.66844166668,2024-12-02 22:19:17.187000+00:00,60,26.9019,33.5041,35.9448,25.445
72142.31358833332,2024-12-02 21:19:13.526000+00:00,60,33.3251,64.4894,68.7501,30.0513
76865.94791333334,2024-12-02 20:19:09.571000+00:00,60,64.8275,165.9868,198.1434,60.2458
77922.20493000002,2024-12-02 19:19:05.730000+00:00,60,182.7921,28.5709,204.4347,26.8414
75692.14315833333,2024-12-02 18:19:01.160000+00:00,60,27.9866,29.1702,36.0567,22.3697
76346.917,2024-12-02 17:19:57.464000+00:00,59,30.3226,38.034,45.0309,27.0
74518.03099666665,2024-12-02 16:19:53.570000+00:00,60,32.5416,30.0125,41.4247,27.8531
75431.94720166666,2024-12-02 15:19:50.100000+00:00,60,29.0215,31.0,45.2189,25.404
78141.37597499999,2024-12-02 14:19:46.686000+00:00,60,30.0218,17.7969,34.4967,17.3632
80550.10039333333,2024-12-02 13:19:42.593000+00:00,60,19.0992,17.4464,23.2425,15.3824
83502.22415666662,2024-12-02 12:19:39.053000+00:00,60,16.4061,13.477,20.0292,12.4179
83959.0160316667,2024-12-02 11:19:36.017000+00:00,60,11.6455,16.5599,18.7477,10.0
84173.972325,2024-12-02 10:19:32.341000+00:00,60,19.3595,13.8512,19.3595,10.7091
85090.82884,2024-12-02 09:19:29.241000+00:00,60,13.0,16.1462,18.1914,10.5597
83321.15650833334,2024-12-02 08:19:26.072000+00:00,60,14.9685,12.7079,45.4459,10.4883
88314.00671166665,2024-12-02 07:19:22.708000+00:00,60,11.5087,11.9511,14.3949,10.0
